product_name,brand,customer_name,verified_purchase,rating,customer_review,helpful_votes,review_date,total_votes,review_length
"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",Samsung,MzzzzSusan in SC,True,5,"LOVE THE NOTE 3. I really love the Galaxy Note 3 and I have had absolutely no problems with it. It does everything and more. I am sorry the newest version (7) has been such a disaster, but I think there must have been a flaw in the sealed waterproof design. I am so glad I settled on the older version, tried and true, for less money, and virtually no down side at all. The Galaxy Note 3 phone is such an awesome phone I feel very badly for the company at this time. Also the company which sent it, did so quickly. Arrived earlier than expected.",5.0,11-10-2016,7.0,545
"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",Samsung,Teresa Fong,True,5,"ATTENTION TRACFONE USERS. Amazingly this works with Tracfone. Before we used a iPhone 4s Verizon, bought from Amazon and transferred to Tracfone BYOP successfully and everything still works today. Didn't know of Tracfone's changes, so now it's AT&T, unlocked phones, T-Mobile, and some other various carriers that can be brought into BYOP, not Verizon! (As it was a BYOP carrier before) TRANSFER: Old Tracfone cellphone to this newer samsung. Already had a Sim card meant for the process. (Strangely before the iPhone 4s didn't need a Sim card, still doesn't have one, but still on that Tracfone plan for the iPhone). The BYOP process didn't work right away when we tried transferring it online. Called Tracfone for assistance, blah blah provided information, this that, op nope your phone isn't compatible with Tracfone sorry, and bye. HOWEVER, we tried transferring online again and it worked successfully!! RESULTS: It uses AT&T cell towers, makes calls and everything successfully, Image transfers through text messages is iffy since it can't send multiple images in bulk. Just make sure to go through the steps listed for BYOP, do it once or twice and Image transfer along with data usage should work fine.",1.0,14-07-2016,3.0,1211
"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",Samsung,Michele,True,5,"I love this phone/table phablet!. This phone is fabulous! I had an iPhone 4, and really didn't need anything fancy or better but got tired of the updates and being it was a 4, it was too old for many newer things. I wanted something that I could read books on that is large enough like a kindle, but use as a phone as well. This phone is it for me. Phablet.....yeah ok. I call it awesome! Perfect in size to read books, not too big that it still is ok to use as phone while holding it up to your ear. It is bigger than most phones, but with all the features as hands-free, gestures and so many features I am still learning about, I recommend this to anyone wanting the cross between a tablet and a cell phone. Many others give great detail to the phone, I am simply going to say its fast, battery lasts longs (if you remember to close applications you're not using) so many smart features, and way better than iPhone 4. I love android and all the same apps pretty much as iTunes has plus google play store, kindle app for books........its endless!! Love it!",3.0,20-01-2015,5.0,1057
"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",Samsung,Mike,True,5,"Worked Great, No Accessories. Worked just like it was straight out of the box. It was great to be able to charge again after my original Note 3 was rusted and corroded around the port. It was a little tricky to figure out how to change out the SIM card. Apparently according to YouTube videos you need the tool which came in the original box. There is no way that you could do it by hand, I had no luck with a pair of tweezers, and even with the original tool took me a few attempts to get the SIM card out. Once put in the new phone I didn't even have to call Verizon, it worked immediately. I also purchased a 128GB Memory Stick to transfer all of my photos and videos from the old phone (It's memory was full so I couldn't upload through the internet and the port was corroded so USB wouldn't work). This phone did not come with the Stylus or the Charger. I found two generic chargers for about $8 on Amazon and I took my stylus from the old phone. Overall happy with the purchase and everything worked great. Only downside in the whole experience for me was that I lost some of my contacts in the transfer. I believe that some are stored locally on the phone and some are google contacts. There didn't seem to be much rhyme or reason but I now make sure that I store them all as Google contacts..",2.0,18-04-2017,4.0,1300
"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",Samsung,vdctech,True,4,"VERY Pleased with this phone!!. I have had this phone for a little over a month now and am extremely happy with it. I love everything about it EXCEPT the Visual Voicemail Update that WONT GO AWAY. I DO NOT want Visual Voicemail and besides that, Verizon wants to charge 2.99 a month for it!! I won't go into this any further as it will just spark more rants about unwanted software/bloat ware. The problem with this particular piece of crapware is that notifications CONTINUALLY pop up and sit in the notifications bar at the top of the phone. If you clear it, it comes back, and there is no way to turn it off either! This is the reason for taking off 1 star off the phone¡¦s rating. Other than that, the phone is a real performer, takes wonderful pictures and video and is still slim enough to fit nicely in my back pocket. The phone is big, but so are my hands and it could not fit them better. This is truly a ¡§where have you been all my life¡¨ moment having this phone. The larger display is just awesome and the pen works great too. This phone would be a perfect 10+ without the software/bloat ware thing. But hey, where would the world be without annoying salespeople trying to sell you what you don¡¦t want or need? Anyway, the battery life has been great for me. Most times I can go 2 days without a charge. I do turn my phone off at night though and I don¡¦t play games on it with the exception of Bubble Shootº. I went from the Droid Razr Maxx to this phone and I loved that phone, well I thought I did until I got this phone. I was hesitant going away from Motorola equipment, as I have always had some sort of Motorola device because they are made so well. REALLY glad I made this switch!!",1.0,04-06-2014,3.0,1703
"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",Samsung,Joseph,True,5,"Still learning, transitioning from iPhone. Great phone, although I miss the integrated features that the iPhone provides. Excellent battery. I haven't found aftermarket apps, but in my transition i've noticed: What I do love: Great screen size to read everything comfortably, watch video clips, and appreciate pictures. Great battery life. I had to charge the iPhone I had twice a day. This I abuse and it still gets me through the day. It also has a removable battery for instant juice. Family I have in the Philippines have had to charge theirs 3-4 times a day due to the network infrastructure. Responsive In my transition, things I have noticed: -Native list syncing is not present. I decided to go with Wunderlist. I would have used Google Task, but it's not developed yet. -No button that pulls up voice command like Siri does in the lock screen. The voice command is not universal and not as easily accessible like Siri was. You can have it activate in the lock screen with a double tap of the home button, but it doesn't work if the phone is unlocked. If it is unlocked, you have to find the app. There is a buttonless voice activation (""Hi Galaxy""), but it stops working sometimes. -Google maps will persist in lock mode, but only if you don't hit the home button to summon the unlock screen. When you do that, the map disappears and you must unlock the phone to see it again (the iPhone will always show the map when navigating while locked, which was really nice). -Some apps tend to freeze. I simply hold down the home button and swipe to close a running program and then reopen it. -The text size kept changing on me every time I tried to text. I found you change the default text size with the volume buttons. -I had to be creative to migrate my contacts. I moved everything to Google from my iPhone, then synced with my phone. One thing that is great is that I can manage my contacts now through Google Contacts through my Gmail (they have a tool to remove duplicate contacts! -Text to speech engine is awesome, better than Siri in accuracy and speed, I think. -Camera and playlist controls aren't available in the lock screen as they were with the iPhone, UNLESS you disable security. I've used the pen when in phone calls to jot down and auto-call the numbers I write afterwards, which is really nice. After the novelty of the pen, I reverted to using the on-screen keyboard. I still use it on occasion. I like the availability, especially when sending information to people or writing on maps. I have used the S-Note notebooks to draw guitar chords and strumming patterns, so that's really nice. I just wish there was more integration, so I can see my notebooks on my computer. For a case, I used the Otterbox Commuter, which works well. It has no belt clip, but I would imagine I'd get tired of putting on the clip after a while anyway. This just slides into my pocket. Did I enjoy my iPhone? yes. simple, works, well integrated, robust, although sometimes non-responsive and poor battery life. Do I enjoy the Galaxy Note? yes. Totally different experience with the larger screen, great battery life, more enjoyment of pictures, video. It's not as well integrated, but it works and does what I want. In a mobile computing device/phone that I have on me all the time the screen, snappiness, battery life, and pen bring really make it and are much more important in the experience. Will I stay? I think so. I will learn the phone soon enough. The experience is just different. If you have any comments, please do! I'm still learning the phone. It is a great piece of art and master craftsmanship from Samsung. It comes from South Korea, a powerhouse of cutting edge technology and force in the global economy (I was there for a year and can appreciate the history). Not to be confused with China or Japan",1.0,08-03-2014,3.0,3821
"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",Samsung,eg,True,5,"Favorite smartphone Ive had.. This is definitely the best phone I've owned. My previous were the Samsung Fascinate (Galaxy 1) and then the Galaxy S3. I have always prefered Samsung devices. I like Apples hardware but I hate iOS, so I stick to android devices. After working several jobs selling cell phones, and working with them all the time I always choose to buy samsung. I just think the Galaxy series phones have been really good. Well, the time came for my S3 to upgrade and I was planning on getting the newest ""S"" phone which at the time was the S5. After playing around with one for a bit I just wasn't crazy about it. It seemed bigger than my S3 by a noticeable amount, and had some annoying features that were unable to be turned off. I didn't care about the S Health or anything like that. I care about speed, and features. Thats where the Note shines. It is a large phone, but its actually not that much bigger than an S5. An S5 with an otterbox is bigger than my Note with a slim grip case. I have now had the phone for a couple months and pocketing it is no big deal at all. Also the Note has awesome features. S-Window is really cool, as well as Scrapbooker. S-note is useful for reminders or jotting down a number or something really quick. S-draw is really cool to use. The pen even comes in handy for texting and normal web use. Its screen is also really nice not quite 1080p but its 720p. It looks just fine I watch videos on it all the time. all in all I highly recommend the Note 3. The Note 4 hardware and build quality/materials are better. Its more expensive and has some slightly annoying features though. Consider a Note as your next phone over a Galaxy S. Not to m",0.0,12-01-2015,2.0,1692
"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",Samsung,Judy L.,True,5,"So far I am really loving this phone.. I don't use a cell phone a lot, but I love the functionality of this phone. It is more like a mini tablet. The pen that comes with it is very handy, and activates the phone when you pull it out. It is also great for more precise selections and for note taking. I am very happy with the resolution of the screen and the response of both touch and pen. Buying the phone from Amazon and setting up a new Verizon account was painless. I easily got the account and on-line payment set up without a hitch. I also transferred my AT&T phone number to the phone without any problems. I won't reiterate the tech specs of the phone as you can read all of that on the product page. I just want to let you know what I think of it as a user of the phone. At this point in time, I couldn't be happier with this phone or the Verizon service. UPDATE 5/07/16 I've had this phone for a little over 3 years, and I still have no desire to get a new phone. I did, however, recently decide to switch my service provider from Verizon to T-Mobile because of the offerings of T-Mobile which I won't get into. I was assured by the T-Mobile rep that as long as the phone was unlocked, I could replace the Verizon sim card with the one from T-Mobile and the phone would work with no problems after activating the T-Mobile sim card. I am updating this review so that others don't experience what I did if they want to change their provider. First of all, Verizon has never locked any of their 4G phones. Verizon uses a CDMA network which is also used by Sprint and US Cellular, T-Mobile and AT&S use a GSM network. One difference is the polarity used, so phone for each type of network are manufactured to use the specific polarity of the network. The other difference that should be considered by the end user is that on the GSM network customer information is stored on the sim card. This means that you can take the sim card from one phone and insert it into another and it will work.GSM carriers must accept any GSM phone. So they don't have control over the phone you are using. CDMA carriers use network based white lists. So you can only switch phones with your carrier's permission, and the carrier doesn't have to accept any particular phone. There are other differences between the two network types, but those I have mentioned affect the end user the most. In my case, I had to buy a new phone in order to switch to T-Mobile as a carrier. I was also told by Verizon that this phone ""may"" work with another CDMA carrier, but it my lose functionality. I have had to buy another phone to use the GSM network, and have decided to get the Galaxy Note 4 since I have to give up my Note 3. I hope this helps other in choosing a carrier and a phone.",1.0,08-01-2014,3.0,2761
"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",Samsung,Renie,True,5,"Great camera and sound, large, but slim. durable. 'rich' looking.. best phone I've had so far. switched from AT&T to Verizon with this phone, and glad I did, customer service has been excellent. there were problems with overheating and the battery draining quickly - which you can see via an internet search - Verizon replaced the phone, but I found that the problem really seems tied to Google updating/syncing photos and videos - once I turned that off (and only do it on demand and when plugged in) the problem seems solved. have not been thrilled by the Note feature, but that is probably just my ignorance. Excellent camera, and I love the Google voice search/response feature (of course, that's an android, not just the Note 3). I am fairly careful with my phones, so haven't put a screensaver on it, nor do I use a case (most of the time) due to the weight - and find the phone and screen to be pretty durable, it still looks like new after about 2 years. it's large, and rather unwieldy, but for my old eyes, ability to see things on the screen makes up for it! it is slim and light enough to not be a problem. the sound is really good too, I almost always use the speakerphone on it for making calls, and like the sound when I play music or listen to audio books (and I'm fussy!). I haven't tried other brands, so can't comment on how the note 3 compares, tho I did look at them in the store before settling on this phone",0.0,02-07-2015,2.0,1430
"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",Samsung,Engee00,True,5,"Great Phone. I bought this phone in December 2013. l still love it. The drawback is its size. l hare small hands and it can be difficult to grasp because it is big.It is also heavier than my previous phones. The size is why I bought it though - l wanted the big screen and it is worth it. lt is very durable. I did put a case on it but it is a lightweight one that only covers the edges and back. I have dropped my phone many times with no damage. Samsung does have a lot of useless programs that come pre-installed but I haven't had issues with those. My battery easily lasts all day most days. If the battery seems to be draining quickly, clearing the cache and restarting the phone seems to solve the problem. The On-screen keyboard is easier to use on the bigger screen. The split windows are now useable. Games are easier to play. Everything is easier to read. One more drawback is that the volume buttons and power button are directly opposite of each other. I often end up pressing both at the same time. The rest of the phone isn't much different from the Galaxy Nexus. the programs are the same. The screens look the same only bigger.",1.0,11-07-2014,3.0,1143
