product_name,brand,customer_name,verified_purchase,rating,customer_review,helpful_votes,review_date,total_votes,review_length
"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",Samsung,Crystal,True,1,"Phone like new, it is defective. Phone is defective and unable to return it because I traveled after purchase. Thought maybe it just came with a bad battery or charger. I replaced both, after taking it to someone I found out the problem was with the phone the whole time. Waste of a bunch of money when they said the phone was new.",12.0,27-07-2016,17.0,331
"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",Samsung,griis,True,1,"I started to have issues with the phone and they have only been getting worse and irritating me. Cosmetically this phone is in pristine condition!! But after days two of use, I started to have issues with the phone and they have only been getting worse and irritating me. It constantly freezes, reboots for no reason, gets stuck on reboot screen, non responsive a lot of times!! Since I received the phone, its been a useless POS because I can't use the minimum features of the Note 5, such as make/receive a call much less text! I thought it would ""go away"" with the system update to marshmallow NOPE!!! I just need my money back!",8.0,04-07-2016,10.0,631
"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",Samsung,Michael E Reynolds,True,5,"This Galaxy note 4 is a great replacement phone!. This phone is a great value with all the bells and whistles I love about the notes. I've had the note 2, 3 and now the 4, it just gets faster, more features, more memory and better cameras. The particular one I got only charges up to 77 percent with the stock battery, but it's refurbished so not unexpected. I ordered a new genuine note 4 adaptive rapid charge capable battery inexpensively through Amazon, and now it's fine, it's a great value for the price.",1.0,11-08-2018,3.0,510
"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",Samsung,Cinders,True,5,"Great deal... perfect phone!. This is my first time buying a refurb phone. Although delivered a day late, it was packaged well. The phone literally looks brand new! Not a scratch or scuff on it anywhere. I took it to Sprint today for activation, as I had neglected to put the sim from my old phone in so I could activate from home. But all was easy. It's working great so far. Highly recommend!",4.0,17-02-2017,6.0,394
"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",Samsung,Tito Martinez,True,2,"""Tested for Full function, R2/Ready for Reuse"". Pretty clean for a used phone. The screen scratched a little but nothing that you wouldn't get from normal ware. No evidence of serious drops. No evidence of water damage. Power, volume and home buttons still have some nice action. Came with a battery that had no signs of damage or bloating. All the makings of a great used cellular device...if it ever turned on. After using different chargers, cords and replacement batteries (3 to be exact) known to be good; still no power whatsoever. Deeply sadden and curious what it takes to pass a quality check. Shout outs to ""KA"" for the testing and ""KE"" for the inspecting of the device. Absolutely will be returning the device.",1.0,14-04-2019,3.0,721
"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",Samsung,Kurtice YZ,True,5,"Hell Yea!. Still my fav phone for however long its been out, this particular phone being faster than even my last one so.. Hell Yea! Sprint provider being picky with this phone needing to be a sprint phone is the only slight drawback",0.0,16-09-2019,2.0,233
"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",Samsung,anthony j schaffer,True,1,Just plain let down. I ordered this phone and was super excited to get it! When it came in i started charging it. Let it get to a 100% charge. installed my memory card and sim card and tried to turn it on. All it did was show the start up screen for a few seconds and then go to a black screen over and over and over and over again. Def not worth the money spent or the time i have to spend to return the item and now find a phone that works. So sad. So disappointed 😢😢😢😢😢😢😞😞😞😞😞😞😞😢😢😢😢😢😢😢😞😞😞😞😞😞😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,1.0,19-08-2018,3.0,510
"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",Samsung,Alexander,True,1,"I don't recomend.. I had a note 3, and loved it. When I saw the oppurtunity to jump to the 4 for a decent price, I jumped at it... but boy do I regret that. The thing hasn't worked well since day one, even after getting support to help me with the device in the first few weeks. I eventually gave up on trying to have it work well. Now, a few months later, the thing is just completely dead. And it's not just my phone either. I know two other people with the phone, and they have simular issues, and just have been fortunate enough that they haven't just stopped working all together.",1.0,05-12-2018,3.0,585
"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",Samsung,DA,True,4,"Love the S-Pen. Have had Samsung phones now for a couple of years, previously owned HTC devices. Love the S-Pen, and the fact it has removable battery and a microSD slot. The 32GB standard memory is great too, all my previous devices had 16GB (or less). Takes great pics and videos, great in-app editing and touch up as well.",3.0,12-12-2015,5.0,325
"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",Samsung,Frederick Meyers,True,4,Excellent Android phone. Bought for girlfriend -- she loves this phone/tablet. Phone calls are clear and response is very good.,5.0,18-01-2016,7.0,127
"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",Samsung,Kindle Customer,True,4,"Love this phone.. What can I say? I had the I, then the 2, and now the 4. Love/loved each and every one. Did I say how much I love my phone? :) Just one problem. It looks like my SIMs card is bad. The rep at the Sprint store I went to did not have another one to switch mine with mine. She took it out and put it back in and said if I had any more problems with it to call Sprint and they will replace it. It worked a while but just today the message came on again saying my card could not be located. I will call Sprint today for a new one. Still, I love my Note 4!!",0.0,20-05-2015,2.0,567
"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",Samsung,Amazon Customer,True,1,Although i love the note 4 i received. Although i love the note 4 i received.....the battery is going from full charge to 0 and then completely shutting off. Not sure if this is a phone issue or a battery issue. I will give it a few days....hopefully purchase a new battery and it fixes itself. Update. The new battery did not work. This phone is NOT fully functional as described,3.0,04-04-2016,5.0,380
"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",Samsung,SouthTexas,True,1,"Defective phone ... returned for a refund. Unit that was delivered would spontaneously reboot or power down without warning. Three days after delivery, It finally died altogether and would not power up at all. Returned for full refund. After viewing other similar reviews, I decided to just cancel the replacement order as well.",1.0,05-01-2017,3.0,328
