product_name,brand,customer_name,verified_purchase,rating,customer_review,helpful_votes,review_date,total_votes,review_length
"Xiaomi Mi A3 128GB + 4GB RAM, Triple Camera, 4G LTE Smartphone - International Global Version (Not just Blue)",Xiaomi,Amazon Customer,True,5,"This model is unlocked by manufacturer.. Quality of the camera is really good, but the speaker is located at the bottom of the device, it's not at upper right corner which is closed to our ear ! It was unlocked by the manufacturer but not compatible to all mobile carriers.",10.0,13-11-2019,15.0,273
"Xiaomi Mi A3 128GB + 4GB RAM, Triple Camera, 4G LTE Smartphone - International Global Version (Not just Blue)",Xiaomi,Tab,True,4,"Excellent for the cost. I am trying to train myself not to expect so much from a phone in this price bracket. However, I am warming up to this phone. I have never used Android One before. I kind of miss MIUI. MIUI is awesome. I may go back to a model that has it if I can't get used to Android One. It's not that it's bad it's just not what I am accustomed to. There are a few missing functions but there are some nice additions too. Also, the camera is better than you'd expect. It does seem to do some things slower than my mate 9. It takes too long to download apps sometimes. It hangs every once in a while. I'm hoping the Dec update addresses this. Over all I am okay with this purchase. This phone is very pixel like in the UI.",3.0,04-12-2019,5.0,733
"Xiaomi Mi A3 128GB + 4GB RAM, Triple Camera, 4G LTE Smartphone - International Global Version (Not just Blue)",Xiaomi,Evelyn Jim,True,5,"Excellent quality for such a price!. I'm in love! Great camara, fast, excellent volume, I love the color.",7.0,27-10-2019,9.0,105
"Xiaomi Mi A3 128GB + 4GB RAM, Triple Camera, 4G LTE Smartphone - International Global Version (Not just Blue)",Xiaomi,Ignacio G Garcia,True,4,Nice looking and fast. Really nice looking and fast phone! It really works for me. The only bad thing is that the screen is difficult to see when you are outside.,4.0,24-11-2019,6.0,162
"Xiaomi Mi A3 128GB + 4GB RAM, Triple Camera, 4G LTE Smartphone - International Global Version (Not just Blue)",Xiaomi,Yenifer Pereyra,True,5,"The best Price/ Qulity Phone. Excellent, the Amoled Screen, for me, is better than Redmo NOte 5 despite is 720p i can't notice this issue.",4.0,07-11-2019,6.0,138
"Xiaomi Mi A3 128GB + 4GB RAM, Triple Camera, 4G LTE Smartphone - International Global Version (Not just Blue)",Xiaomi,Douglas P.,True,5,"Lots of bang for your buck with minor gripes.. Wonderful phone for the price and Android ONE is a fine os. The camera shoots great photos, lacking a bit in low light conditions though. I find the finger print reader to be less than reliable but work keeps my hands rather dirty so that could just be me. Dual SIM or expansion slot, but who needs it at 128gb storage. The lower res screen hasn't been a bother to me at all and the screen is rather easy to see on sunny days. The IR blaster sounds gimmicky but I find it to be a very useful addition. I've owned the mi a1 and 2, xiaomi seems to make quality phones. My only real gripe for the phone would be The charging port and headphone jack are on opposite ends of the phone. Finger print reader isn't on par compared to my a1 and my camera app gives me a crash notification after I plug it in 75% of the time (doesn't seem to effect the camera but the notification is annoying). Do your research to see if the specs match your needs but you can't really beat this phone with a nice case and 2 screen protectors for 200$.",0.0,18-12-2019,2.0,1073
"Xiaomi Mi A3 128GB + 4GB RAM, Triple Camera, 4G LTE Smartphone - International Global Version (Not just Blue)",Xiaomi,Shiny ebert,True,5,best phone i have used... I am in love with the phone.. super quality... Loved it... thank u... and also it has good options as mentioned... delivery was done as expected...,3.0,19-11-2019,5.0,173
"Xiaomi Mi A3 128GB + 4GB RAM, Triple Camera, 4G LTE Smartphone - International Global Version (Not just Blue)",Xiaomi,Juan,True,5,"Envío seguro. Llego todo bien, el color es hermoso",3.0,08-10-2019,5.0,50
"Xiaomi Mi A3 128GB + 4GB RAM, Triple Camera, 4G LTE Smartphone - International Global Version (Not just Blue)",Xiaomi,Mike,True,5,"SUCH a great phone for the price!. Love this thing.. Once I got one and my kids played with it, they both wanted one for themselves. My wife is ordering one next :) Love it!",1.0,04-12-2019,3.0,173
"Xiaomi Mi A3 128GB + 4GB RAM, Triple Camera, 4G LTE Smartphone - International Global Version (Not just Blue)",Xiaomi,Agustin Jose Javier Ramos,True,5,"Mi A3. Lo unico malo de este telefono es su cargador que no viene con el enchufe para de toma de corriente para USA sino trae un adaptador el cual se pierde muy facil, otra cosa la toma de corriente de donde se carga telefono es unica sino tienes el cargador que trae de serie con otro no puedes cargar la bateria.",1.0,14-12-2019,3.0,314
"Xiaomi Mi A3 128GB + 4GB RAM, Triple Camera, 4G LTE Smartphone - International Global Version (Not just Blue)",Xiaomi,Pablo,True,5,"Si tú presupuesto es justo el valor de este móvil, no lo dudes, adquiérelo.. Criticado por su pantalla, en la práctica no existe un factor que materialice este ""defecto"". En su rango de precio lo recomiendo al 100%.",1.0,06-12-2019,3.0,215
